DATE,MEHOINUSWIA646N
1984-01-01,20740
1985-01-01,23250
1986-01-01,26430
1987-01-01,26370
1988-01-01,29580
1989-01-01,29120
1990-01-01,30710
1991-01-01,31130
1992-01-01,33310
1993-01-01,31770
1994-01-01,35390
1995-01-01,40960
1996-01-01,40000
1997-01-01,39600
1998-01-01,41330
1999-01-01,45670
2000-01-01,45090
2001-01-01,45350
2002-01-01,45900
2003-01-01,46270
2004-01-01,45730
2005-01-01,44650
2006-01-01,51690
2007-01-01,51280
2008-01-01,51200
2009-01-01,51240
2010-01-01,50350
2011-01-01,52060
2012-01-01,53080
2013-01-01,51730
2014-01-01,58080
2015-01-01,55430
2016-01-01,59820
2017-01-01,63480
2018-01-01,62630
2019-01-01,67350
2020-01-01,67410
2021-01-01,69940
2022-01-01,73330
2023-01-01,79690
